Date_started,Temporada,Dia_semana,Dia_laboral,Feriado_WDC,Year,Month,Day,Temperatura mínima diaria,Temperatura máxima diaria,Velocidad del viento máxima constante,Precipitaciones totales diarias,Presión,Descripción
2024-02-01,1,4,1,0,2024,2,1,0.0,9.0,16.0,0.0,1018.7999877929688,0.0
2024-02-02,1,5,1,0,2024,2,2,8.0,9.0,13.0,0.0,1012.2000122070312,0.0
2024-02-03,1,6,0,0,2024,2,3,2.0,11.0,29.0,0.0,1018.0,0.0
2024-02-04,1,7,0,0,2024,2,4,0.0,11.0,15.0,0.0,1017.0,0.0
2024-02-05,1,1,1,0,2024,2,5,1.0,11.0,16.0,0.0,1013.4000244140624,0.0
2024-02-06,1,2,1,0,2024,2,6,0.0,12.0,22.0,0.0,1019.0999755859376,0.0
2024-02-07,1,3,1,0,2024,2,7,-1.0,11.0,11.0,0.0,1025.199951171875,0.0
2024-02-08,1,4,1,0,2024,2,8,2.0,13.0,15.0,0.0,1025.9000244140625,0.0
2024-02-09,1,5,1,0,2024,2,9,7.0,9.0,16.0,0.0,1022.5999755859376,0.0
2024-02-10,1,6,0,0,2024,2,10,9.0,11.0,13.0,0.0,1014.2000122070312,0.0
2024-02-11,1,7,0,0,2024,2,11,11.0,13.0,13.0,0.0,1011.7000122070312,0.0
2024-02-12,1,1,1,0,2024,2,12,8.0,11.0,11.0,3.5,1012.5999755859376,1.0
2024-02-13,1,2,1,0,2024,2,13,2.0,9.0,45.0,18.0,1007.0,3.0
2024-02-14,1,3,1,0,2024,2,14,2.0,9.0,34.0,3.299999952316284,1017.9000244140624,0.0
2024-02-15,1,4,1,0,2024,2,15,0.0,9.0,28.0,0.0,1021.5999755859376,0.0
2024-02-16,1,5,1,0,2024,2,16,6.0,10.0,29.0,0.0,1011.4000244140624,0.0
2024-02-17,1,6,0,0,2024,2,17,1.0,7.0,22.508771896362305,0.0,1010.4000244140624,3.0
2024-02-18,1,7,0,0,2024,2,18,-2.0,1.0,21.0,0.0,1016.2999877929688,0.0
2024-02-19,1,1,0,1,2024,2,19,2.0,6.0,11.0,0.0,1016.0999755859376,0.0
2024-02-20,1,2,1,0,2024,2,20,-1.0,6.0,11.0,0.0,1026.300048828125,0.0
2024-02-21,1,3,1,0,2024,2,21,2.0,6.0,16.0,0.0,1030.800048828125,0.0
2024-02-22,1,4,1,0,2024,2,22,1.0,11.0,22.0,0.0,1019.5,0.0
2024-02-23,1,5,1,0,2024,2,23,1.0,12.0,15.0,0.2000000029802322,1001.2000122070312,1.0
2024-02-24,1,6,0,0,2024,2,24,5.0,12.0,22.0,0.0,1003.4000244140624,0.0
2024-02-25,1,7,0,0,2024,2,25,-2.0,12.0,22.0,0.2000000029802322,1019.4000244140624,1.0
2024-02-26,1,1,1,0,2024,2,26,3.0,19.0,22.0,0.0,1017.5,0.0
2024-02-27,1,2,1,0,2024,2,27,3.0,20.0,24.0,2.832787036895752,1014.0999755859376,1.0
2024-02-28,1,3,1,0,2024,2,28,6.0,18.0,39.0,3.299999952316284,1006.0,1.0
2024-02-29,1,4,1,0,2024,2,29,1.0,18.0,35.0,6.800000190734863,1023.5,1.0
2024-03-01,2,5,1,0,2024,3,1,1.0,12.0,24.0,0.0,1033.800048828125,0.0
2024-03-02,2,6,0,0,2024,3,2,1.0,13.0,26.0,5.800000190734863,1025.199951171875,1.0
2024-03-03,2,7,0,0,2024,3,3,6.0,18.0,15.0,13.699999809265137,1022.5,0.0
2024-03-04,2,1,1,0,2024,3,4,9.0,20.0,22.508771896362305,0.0,1024.5999755859375,0.0
2024-03-05,2,2,1,0,2024,3,5,9.0,21.0,32.0,10.899999618530272,1020.4000244140624,1.0
2024-03-06,2,3,1,0,2024,3,6,9.0,15.0,24.0,4.0,1015.7999877929688,1.0
2024-03-07,2,4,1,0,2024,3,7,10.0,18.0,29.0,5.0,1011.5999755859376,1.0
2024-03-08,2,5,1,0,2024,3,8,9.0,13.0,15.0,0.2000000029802322,1020.4000244140624,0.0
2024-03-09,2,6,0,0,2024,3,9,7.0,12.0,21.0,0.0,1023.5,0.0
2024-03-10,2,7,0,0,2024,3,10,8.0,9.0,21.0,20.5,1001.4000244140624,1.0
2024-03-11,2,1,1,0,2024,3,11,4.0,5.0,37.0,0.5,1009.7000122070312,4.0
2024-03-12,2,2,1,0,2024,3,12,7.0,12.0,15.0,0.0,1016.0999755859376,0.0
2024-03-13,2,3,1,0,2024,3,13,10.0,19.0,13.0,0.0,1012.5999755859376,0.0
2024-03-14,2,4,1,0,2024,3,14,10.0,16.0,13.0,0.0,1015.0,0.0
2024-03-15,2,5,1,0,2024,3,15,16.0,19.0,22.508771896362305,0.0,1012.0,0.0
2024-03-16,2,6,0,0,2024,3,16,11.0,17.0,32.0,0.5,1010.2000122070312,1.0
2024-03-17,2,7,0,0,2024,3,17,11.0,14.0,16.0,0.0,1005.2999877929688,0.0
2024-03-18,2,1,1,0,2024,3,18,8.0,16.0,32.0,0.0,1005.5999755859376,0.0
2024-03-19,2,2,1,0,2024,3,19,3.0,5.0,35.0,0.0,1012.5,0.0
2024-03-20,2,3,1,0,2024,3,20,9.0,9.0,22.508771896362305,0.0,1006.2999877929688,0.0
2024-03-21,2,4,1,0,2024,3,21,1.0,9.0,42.0,0.0,1020.2999877929688,0.0
2024-03-22,2,5,1,0,2024,3,22,4.0,8.0,22.508771896362305,0.0,1026.0999755859375,0.0
2024-03-23,2,6,0,0,2024,3,23,7.0,9.0,16.0,0.5,1017.7000122070312,1.0
2024-03-24,2,7,0,0,2024,3,24,1.0,4.0,37.0,40.79999923706055,1019.0999755859376,0.0
2024-03-25,2,1,1,0,2024,3,25,3.0,8.0,13.0,0.0,1027.9000244140625,0.0
2024-03-26,2,2,1,0,2024,3,26,4.0,16.0,21.0,0.0,1022.7000122070312,0.0
2024-03-27,2,3,1,0,2024,3,27,8.0,10.0,16.0,0.0,1018.5,0.0
2024-03-28,2,4,1,0,2024,3,28,9.0,12.0,26.0,21.299999237060547,1015.5999755859376,1.0
2024-03-29,2,5,1,0,2024,3,29,7.0,11.0,22.0,1.5,1014.2999877929688,0.0
2024-03-30,2,6,0,0,2024,3,30,7.0,13.0,21.0,0.0,1013.2999877929688,0.0
2024-03-31,2,7,0,0,2024,3,31,11.0,13.0,45.0,0.2000000029802322,1008.0,2.0
2024-04-01,2,1,1,0,2024,4,1,11.0,14.0,22.0,5.800000190734863,1013.0,2.0
2024-04-02,2,2,1,0,2024,4,2,11.0,12.0,16.0,6.300000190734863,1014.4000244140624,1.0
