Date_started,Temporada,Dia_semana,Dia_laboral,Feriado_WDC,Year,Month,Day,Temperatura mínima diaria,Temperatura máxima diaria,Velocidad del viento máxima constante,Precipitaciones totales diarias,Presión,Descripción,Predicted_member,Predicted_casual
2024-02-01,1,4,1,0,2024,2,1,0.0,9.0,16.0,0.0,1018.7999877929688,0.0,5824.651969246031,1738.5533333333333
2024-02-02,1,5,1,0,2024,2,2,8.0,9.0,13.0,0.0,1012.2000122070312,0.0,6414.119562996028,2363.391111111111
2024-02-03,1,6,0,0,2024,2,3,2.0,11.0,29.0,0.0,1018.0,0.0,4216.822637896827,2195.708888888889
2024-02-04,1,7,0,0,2024,2,4,0.0,11.0,15.0,0.0,1017.0,0.0,4224.375117559525,1968.41
2024-02-05,1,1,1,0,2024,2,5,1.0,11.0,16.0,0.0,1013.4000244140624,0.0,5802.199387896823,1736.5833333333333
2024-02-06,1,2,1,0,2024,2,6,0.0,12.0,22.0,0.0,1019.0999755859376,0.0,5780.288929563493,1878.5166666666667
2024-02-07,1,3,1,0,2024,2,7,-1.0,11.0,11.0,0.0,1025.199951171875,0.0,5830.087700892862,1881.921111111111
2024-02-08,1,4,1,0,2024,2,8,2.0,13.0,15.0,0.0,1025.9000244140625,0.0,6368.88948263889,2052.981111111111
2024-02-09,1,5,1,0,2024,2,9,7.0,9.0,16.0,0.0,1022.5999755859376,0.0,6570.876929067462,2404.601111111111
2024-02-10,1,6,0,0,2024,2,10,9.0,11.0,13.0,0.0,1014.2000122070312,0.0,5732.839386904758,2790.3411111111113
2024-02-11,1,7,0,0,2024,2,11,11.0,13.0,13.0,0.0,1011.7000122070312,0.0,5342.175562499998,3145.987777777778
2024-02-12,1,1,1,0,2024,2,12,8.0,11.0,11.0,3.5,1012.5999755859376,1.0,6582.471055059526,2145.1766666666667
2024-02-13,1,2,1,0,2024,2,13,2.0,9.0,45.0,18.0,1007.0,3.0,6117.297987103177,1657.0666666666666
2024-02-14,1,3,1,0,2024,2,14,2.0,9.0,34.0,3.299999952316284,1017.9000244140624,0.0,6168.301100694449,1796.4633333333334
2024-02-15,1,4,1,0,2024,2,15,0.0,9.0,28.0,0.0,1021.5999755859376,0.0,5940.054538690474,1800.0088888888888
2024-02-16,1,5,1,0,2024,2,16,6.0,10.0,29.0,0.0,1011.4000244140624,0.0,6419.626732999637,2108.858888888889
2024-02-17,1,6,0,0,2024,2,17,1.0,7.0,22.508771896362305,0.0,1010.4000244140624,3.0,3827.1473958333313,1646.9477777777777
2024-02-18,1,7,0,0,2024,2,18,-2.0,1.0,21.0,0.0,1016.2999877929688,0.0,3950.9514523809503,1827.1877777777777
2024-02-19,1,1,0,1,2024,2,19,2.0,6.0,11.0,0.0,1016.0999755859376,0.0,4806.608697420632,2055.75
2024-02-20,1,2,1,0,2024,2,20,-1.0,6.0,11.0,0.0,1026.300048828125,0.0,5851.330738095241,1854.8422222222223
2024-02-21,1,3,1,0,2024,2,21,2.0,6.0,16.0,0.0,1030.800048828125,0.0,6511.131357638886,2034.1844444444444
2024-02-22,1,4,1,0,2024,2,22,1.0,11.0,22.0,0.0,1019.5,0.0,6200.316225198418,1789.701111111111
2024-02-23,1,5,1,0,2024,2,23,1.0,12.0,15.0,0.2000000029802322,1001.2000122070312,1.0,5683.2621210317475,1791.118888888889
2024-02-24,1,6,0,0,2024,2,24,5.0,12.0,22.0,0.0,1003.4000244140624,0.0,5095.266269345235,2478.01
2024-02-25,1,7,0,0,2024,2,25,-2.0,12.0,22.0,0.2000000029802322,1019.4000244140624,1.0,3751.640503968255,1716.131111111111
2024-02-26,1,1,1,0,2024,2,26,3.0,19.0,22.0,0.0,1017.5,0.0,6736.491168650796,2166.5055555555555
2024-02-27,1,2,1,0,2024,2,27,3.0,20.0,24.0,2.832787036895752,1014.0999755859376,1.0,6125.002221726192,2090.211111111111
2024-02-28,1,3,1,0,2024,2,28,6.0,18.0,39.0,3.299999952316284,1006.0,1.0,6601.588440791849,1992.1055555555556
2024-02-29,1,4,1,0,2024,2,29,1.0,18.0,35.0,6.800000190734863,1023.5,1.0,5880.178012400794,1864.2333333333333
2024-03-01,2,5,1,0,2024,3,1,1.0,12.0,24.0,0.0,1033.800048828125,0.0,6024.493514880953,3042.382222222222
2024-03-02,2,6,0,0,2024,3,2,1.0,13.0,26.0,5.800000190734863,1025.199951171875,1.0,5479.294127976194,3881.46
2024-03-03,2,7,0,0,2024,3,3,6.0,18.0,15.0,13.699999809265137,1022.5,0.0,6047.4229533730195,5162.2988888888885
2024-03-04,2,1,1,0,2024,3,4,9.0,20.0,22.508771896362305,0.0,1024.5999755859375,0.0,7345.749263888887,3564.8033333333333
2024-03-05,2,2,1,0,2024,3,5,9.0,21.0,32.0,10.899999618530272,1020.4000244140624,1.0,6988.670506448413,3054.5855555555554
2024-03-06,2,3,1,0,2024,3,6,9.0,15.0,24.0,4.0,1015.7999877929688,1.0,7144.62029365079,2909.9866666666667
2024-03-07,2,4,1,0,2024,3,7,10.0,18.0,29.0,5.0,1011.5999755859376,1.0,6780.882924603171,2968.8655555555556
2024-03-08,2,5,1,0,2024,3,8,9.0,13.0,15.0,0.2000000029802322,1020.4000244140624,0.0,7171.361352678574,4686.8788888888885
2024-03-09,2,6,0,0,2024,3,9,7.0,12.0,21.0,0.0,1023.5,0.0,6139.33230654762,5860.991111111111
2024-03-10,2,7,0,0,2024,3,10,8.0,9.0,21.0,20.5,1001.4000244140624,1.0,6212.631987599208,4898.677777777778
2024-03-11,2,1,1,0,2024,3,11,4.0,5.0,37.0,0.5,1009.7000122070312,4.0,5580.815987103178,2083.8455555555556
2024-03-12,2,2,1,0,2024,3,12,7.0,12.0,15.0,0.0,1016.0999755859376,0.0,6970.25243551587,3703.278888888889
2024-03-13,2,3,1,0,2024,3,13,10.0,19.0,13.0,0.0,1012.5999755859376,0.0,7806.317368371216,4056.5655555555554
2024-03-14,2,4,1,0,2024,3,14,10.0,16.0,13.0,0.0,1015.0,0.0,7789.789391188668,4337.507777777778
2024-03-15,2,5,1,0,2024,3,15,16.0,19.0,22.508771896362305,0.0,1012.0,0.0,7211.453113095239,4521.737777777777
2024-03-16,2,6,0,0,2024,3,16,11.0,17.0,32.0,0.5,1010.2000122070312,1.0,5899.2517162698405,4685.876666666667
2024-03-17,2,7,0,0,2024,3,17,11.0,14.0,16.0,0.0,1005.2999877929688,0.0,6884.614873511913,7077.585555555555
2024-03-18,2,1,1,0,2024,3,18,8.0,16.0,32.0,0.0,1005.5999755859376,0.0,6466.263169642858,3192.5
2024-03-19,2,2,1,0,2024,3,19,3.0,5.0,35.0,0.0,1012.5,0.0,5614.862047123012,1974.2977777777778
2024-03-20,2,3,1,0,2024,3,20,9.0,9.0,22.508771896362305,0.0,1006.2999877929688,0.0,7514.17296577381,3460.883333333333
2024-03-21,2,4,1,0,2024,3,21,1.0,9.0,42.0,0.0,1020.2999877929688,0.0,6137.0199980158695,2567.76
2024-03-22,2,5,1,0,2024,3,22,4.0,8.0,22.508771896362305,0.0,1026.0999755859375,0.0,6410.70959672619,3539.1188888888887
2024-03-23,2,6,0,0,2024,3,23,7.0,9.0,16.0,0.5,1017.7000122070312,1.0,5800.458359126984,4816.848888888889
2024-03-24,2,7,0,0,2024,3,24,1.0,4.0,37.0,40.79999923706055,1019.0999755859376,0.0,4428.805499007936,2218.288888888889
2024-03-25,2,1,1,0,2024,3,25,3.0,8.0,13.0,0.0,1027.9000244140625,0.0,6461.743850694448,3011.281111111111
2024-03-26,2,2,1,0,2024,3,26,4.0,16.0,21.0,0.0,1022.7000122070312,0.0,6849.2274409722195,3407.5
2024-03-27,2,3,1,0,2024,3,27,8.0,10.0,16.0,0.0,1018.5,0.0,7435.523157738098,3504.617777777778
2024-03-28,2,4,1,0,2024,3,28,9.0,12.0,26.0,21.299999237060547,1015.5999755859376,1.0,7113.450085317462,3232.0377777777776
2024-03-29,2,5,1,0,2024,3,29,7.0,11.0,22.0,1.5,1014.2999877929688,0.0,6217.877007440472,3851.632222222222
2024-03-30,2,6,0,0,2024,3,30,7.0,13.0,21.0,0.0,1013.2999877929688,0.0,6108.685720238098,5623.537777777778
2024-03-31,2,7,0,0,2024,3,31,11.0,13.0,45.0,0.2000000029802322,1008.0,2.0,5534.13696378968,4958.55
2024-04-01,2,1,1,0,2024,4,1,11.0,14.0,22.0,5.800000190734863,1013.0,2.0,7815.672135912696,3452.22
2024-04-02,2,2,1,0,2024,4,2,11.0,12.0,16.0,6.300000190734863,1014.4000244140624,1.0,8145.800817775964,3564.6744444444444
